Day,Weekday,MorningOTYear1,MorningOTYear2,MorningNTYear1,MorningNTYear2,EveningOTYear1,EveningOTYear2,EveningNTYear1,EveningNTYear2
1st Sunday in Advent,,Isaiah 1:1–20,Isaiah 1:1–20,Matthew 24:1–28,Revelation 14:13–15:4,Isaiah 2:10–end,Isaiah 2:10–end,1 Thessalonians 5,John 3:1–21
1st Sunday in Advent,Monday,Isaiah 3:1–15,,Mark 1:1–20,,Isaiah 4:2–end,,Revelation 6,
1st Sunday in Advent,Tuesday,Isaiah 5:1–17,,Mark 1:21–end,,Isaiah 5:18–end,,Revelation 7,
1st Sunday in Advent,Wednesday,Isaiah 6,,Mark 2:1–22,,Isaiah 8:16–9:7,,Revelation 8,
1st Sunday in Advent,Thursday,Isaiah 9:8–10:4,,Mark 2:23–3:12,,Isaiah 10:5–23,,Revelation 9,
1st Sunday in Advent,Friday,Isaiah 10:24–11:9,,Mark 3:13–end,,Isaiah 11:10–12:end,,Revelation 10,
1st Sunday in Advent,Saturday,Isaiah 13:1–14:2,,Mark 4:1–20,,Isaiah 14:3–27,,Revelation 11,
2nd Sunday in Advent,,Isaiah 5:1–16,Isaiah 11:1–9,Matthew 24:29–end,Revelation 20:11–21:7,Isaiah 5:18–end,Isaiah 11:10–12:end,2 Timothy 3:14–4:8,Luke 1:1–25
2nd Sunday in Advent,Monday,Isaiah 17,,Mark 4:21–end,,Isaiah 18,,Revelation 12,
2nd Sunday in Advent,Tuesday,Isaiah 19:1–17,,Mark 5:1–20,,Isaiah 19:18–end,,Revelation 13,
2nd Sunday in Advent,Wednesday,Isaiah 21:1–12,,Mark 5:21–end,,Isaiah 22:1–14,,Revelation 14,
2nd Sunday in Advent,Thursday,Isaiah 24,,Mark 6:1–13,,Isaiah 28:1–13,,Revelation 15,
2nd Sunday in Advent,Friday,Isaiah 28:14–end,,Mark 6:14–29,,Isaiah 29:1–14,,Revelation 16,
2nd Sunday in Advent,Saturday,Isaiah 29:15–end,,Mark 6:30–end,,Isaiah 30:1–18,,Revelation 17,
3rd Sunday in Advent,,Isaiah 25:1–9,Isaiah 28:9–22,Matthew 25:1–30,Revelation 21:9–22:5,Isaiah 26:1–13,Isaiah 30:8–21,1 Timothy 1:12–2:8,Matthew 3
3rd Sunday in Advent,Monday,Isaiah 30:19–end,,Mark 7:1–23,,Isaiah 31,,Revelation 18,
3rd Sunday in Advent,Tuesday,Isaiah 38:1–20,,Mark 7:24–8:10,,Isaiah 40:1–11,,Revelation 19,
3rd Sunday in Advent,Wednesday,Isaiah 40:12–end,,Mark 8:11–9:1,,Isaiah 41,,Revelation 20,
3rd Sunday in Advent,Thursday,Isaiah 42:1–17,,Mark 9:2–32,,Isaiah 42:18–43:13,,Revelation 21:1–14,
3rd Sunday in Advent,Friday,Isaiah 43:14–44:5,,Mark 9:33–end,,Isaiah 44:6–23,,Revelation 21:15–22:5,
3rd Sunday in Advent,Saturday,Isaiah 44:24–45:13,,Mark 10:1–31,,Isaiah 45:14–end,,Revelation 22:6–end,
4th Sunday in Advent,,Isaiah 32:1–8,Isaiah 35,Matthew 25:1–30,Revelation 22:6–end,Isaiah 40:1–11,Isaiah 40:1–11,2 Peter 3:1–14,Luke 1:26–45
4th Sunday in Advent,Monday,Isaiah 46,,Mark 10:32–end,,Isaiah 47,,Jude 1–16 & (17–end),
4th Sunday in Advent,Tuesday,Isaiah 48,,Mark 11:1–26,,Isaiah 50:4–10,,Jude (1–16) & 17–end,
4th Sunday in Advent,Wednesday,Isaiah 51:1–16,,Mark 11:27–12:12,,Isaiah 51:17–52:12,,2 Peter 1,
4th Sunday in Advent,Thursday,Isaiah 52:13–53:end,,Mark 12:13–34,,Isaiah 54,,2 Peter 2,
4th Sunday in Advent,Friday,Isaiah 56:1–8,,Mark 12:35–13:13,,Isaiah 57:15–end,,2 Peter 3,
4th Sunday in Advent,Saturday,Isaiah 59,,Mark 13:14–end,,,,,
Christmas Eve,,,,,,Zechariah 2:10–end,,Titus 2:11–3:7,
Christmas Day,,Isaiah 9:2–7,,Luke 2:1–20,,Isaiah 7:10–14,,1 John 4:7–end,
St Stephen,,Genesis 4:1–10,,Acts 6,,2 Chronicles 24:15–22,,Acts 7:59–8:8,
St John Evangelist,,Exodus 33:9–19,,John 13:21–35,,Isaiah 6:1–8,,1 John 5:1–12,
Innocents' Day,,Jeremiah 31:1–17,,Matthew 18:1–10,,Baruch 4:21–27,,Mark 10:13–16,
Sunday after Christmas Day,,Isaiah 41:8–20,,Colossians 1:1–20,,Isaiah 12,,Philippians 2:1–11,
December 29,,Isaiah 55,,John 1:14–18,,Isaiah 60:1–12,,Matthew 11:2–6,
December 30,,Isaiah 60:13–end,,John 3:16–21,,Isaiah 61,,Matthew 16:13–20,
December 31,,Isaiah 62,,John 6:41–58,,Deuteronomy 10:12–11:1,,Luke 21:25–36,
Circumcision of Christ,,Genesis 17:1–13,,Romans 2:17–end,,Deuteronomy 30,,Colossians 2:8–15,
2nd Sunday after Christmas,,Isaiah 41:21–end,,1 John 1:1–2:6,,Isaiah 12,,Philippians 2:1–11,
January 2,,Isaiah 63:1–6,,Matthew 1:18–end,,Isaiah 63:7–end,,1 Thessalonians 1,
January 3,,Isaiah 64,,Matthew 2,,Isaiah 65:1–16,,1 Thessalonians 2:1–16,
January 4,,Isaiah 65:17–end,,Matthew 3:1–4:11,,Isaiah 66:1–9,,1 Thessalonians 2:17–3:end,
January 5,,Isaiah 66:10–end,,Matthew 4:12–5:16,,Isaiah 60:1–7,,Romans 15:8–21,
Epiphany,,Isaiah 60,,Luke 3:15–22,,Isaiah 60:9–end,,John 2:1–11,
Epiphany,Monday,Hosea 2:14–3:end,,Matthew 5:17–end,,Hosea 4:1–11,,1 Thessalonians 4:1–12,
Epiphany,Tuesday,Hosea 5:8–6:6,,Matthew 6:1–18,,Hosea 8,,1 Thessalonians 4:13–5:11,
Epiphany,Wednesday,Hosea 9,,Matthew 6:19–end,,Hosea 10,,1 Thessalonians 4:12–end,
Epiphany,Thursday,Hosea 11,,Matthew 7,,Hosea 12,,2 Thessalonians 1,
Epiphany,Friday,Hosea 13:1–14,,Matthew 8:1–17,,Hosea 14,,2 Thessalonians 2,
Epiphany,Saturday,Joel 1,,Matthew 8:18–end,,Joel 2:1–14,,2 Thessalonians 3,
1st Sunday after Epiphany,,Isaiah 49:13–23,Isaiah 42:1–12,Matthew 17:1–13,John 4:1–26 & (4:27–42),Isaiah 61,Isaiah 43:1–13,Matthew 2,John 12:20–36a
1st Sunday after Epiphany,Monday,Joel 2:15–end,,Matthew 9:1–17,,Joel 3,,Galatians 1,
1st Sunday after Epiphany,Tuesday,Amos 1,,Matthew 9:18–34,,Amos 2,,Galatians 2,
1st Sunday after Epiphany,Wednesday,Amos 3,,Matthew 9:35–10:23,,Amos 4,,Galatians 3,
1st Sunday after Epiphany,Thursday,Amos 5,,Matthew 10:24–end,,Amos 6,,Galatians 4:1–5:1,
1st Sunday after Epiphany,Friday,Amos 7,,Matthew 11,,Amos 8,,Galatians 5:2–end,
1st Sunday after Epiphany,Saturday,Amos 9,,Matthew 12:1–21,,Obadiah,,Galatians 6,
2nd Sunday after Epiphany,,Isaiah 43:14–44:5,Amos 3,Ephesians 1,John 6:22–40,Isaiah 44:6–23,Micah 3:5–end,Mark 1:35–end,John 4:43–5:9
2nd Sunday after Epiphany,Monday,Jonah 1 & 2,,Matthew 12:22–end,,Jonah 3 & 4,,1 Corinthians 1:1–25,
2nd Sunday after Epiphany,Tuesday,Micah 1,,Matthew 13:1–23,,Micah 2,,1 Corinthians 1:26–2:end,
2nd Sunday after Epiphany,Wednesday,Micah 3,,Matthew 13:24–43,,Micah 4:1–5:1,,1 Corinthians 3,
2nd Sunday after Epiphany,Thursday,Micah 5:2–end,,Matthew 13:44–end,,Micah 6,,1 Corinthians 4:1–17,
2nd Sunday after Epiphany,Friday,Micah 7,,Matthew 14,,Nahum 1,,1 Corinthians 4:18–5:end,
2nd Sunday after Epiphany,Saturday,Nahum 2,,Matthew 15:1–28,,Nahum 3,,1 Corinthians 6,
3rd Sunday after Epiphany,,Isaiah 45:9–end,Amos 5:6–24,Ephesians 2,John 6:41–end,Isaiah 46:3–end,Micah 4:1–7,Mark 7:24–end,John 9
3rd Sunday after Epiphany,Monday,Habakkuk 1,,1 Corinthians 7,,Habakkuk 2,,1 Corinthians 8,
3rd Sunday after Epiphany,Tuesday,Habakkuk 3:2–end,,1 Corinthians 9,,Zephaniah 1,,1 Corinthians 10:1–11:1,
3rd Sunday after Epiphany,Wednesday,Zephaniah 2,,1 Corinthians 11:2–end,,Zephaniah 3,,1 Corinthians 12:1–27,
3rd Sunday after Epiphany,Thursday,Zechariah 11,,1 Corinthians 12:27–13:end,,Zechariah 13,,1 Corinthians 14:1–19,
3rd Sunday after Epiphany,Friday,Malachi 1,,1 Corinthians 14:20–end,,Malachi 2:1–16,,1 Corinthians 15:1–34,
3rd Sunday after Epiphany,Saturday,Malachi 2:17–3:12,,1 Corinthians 15:35–end,,Malachi 3:13–4:end,,1 Corinthians 16,
4th Sunday after Epiphany,,Isaiah 48:12–end,Amos 7:1–15,Ephesians 3,John 8:1–11,Isaiah 54:1–14,Micah 5:2–7,Luke 13:1–17,John 10:1–18
4th Sunday after Epiphany,Monday,Jeremiah 1,,2 Corinthians 1:1–2:11,,Jeremiah 2:1–13,,2 Corinthians 2:12–3:end,
4th Sunday after Epiphany,Tuesday,Jeremiah 4:1–18,,2 Corinthians 4,,Jeremiah 5:1–19,,2 Corinthians 5,
4th Sunday after Epiphany,Wednesday,Jeremiah 5:20–end,,2 Corinthians 5:20–7:1,,Jeremiah 6:1–21,,2 Corinthians 7:2–end,
4th Sunday after Epiphany,Thursday,Jeremiah 7:1–28,,2 Corinthians 8,,Jeremiah 8,,2 Corinthians 9,
4th Sunday after Epiphany,Friday,Jeremiah 9:1–24,,2 Corinthians 10,,Jeremiah 10,,2 Corinthians 11,
4th Sunday after Epiphany,Saturday,Jeremiah 14,,2 Corinthians 12:1–13,,Jeremiah 15,,2 Corinthians 12:14–13:end,
5th Sunday after Epiphany,,Isaiah 59:12–20,Amos 8:4–12,Ephesians 5:15–6:9,John 7:14–36,Isaiah 60,Micah 6:1–8,Mark 2:1–12,John 5:19–29 & (5:30–40)
5th Sunday after Epiphany,Monday,Jeremiah 17:1–18,,Acts 15:1–29,,Jeremiah 17:19–end,,Acts 15:30–16:5,
5th Sunday after Epiphany,Tuesday,Jeremiah 18:1–17,,Acts 16:6–end,,Jeremiah 20,,Acts 17:1–15,
5th Sunday after Epiphany,Wednesday,Jeremiah 23:9–32,,Acts 17:16–end,,Jeremiah 30:1–22,,Acts 18:1–23,
5th Sunday after Epiphany,Thursday,Jeremiah 31:1–20,,Acts 18:24–19:7,,Jeremiah 31:23–end,,Acts 19:8–20,
5th Sunday after Epiphany,Friday,Jeremiah 33:1–13,,Acts 19:21–end,,Jeremiah 33:14–end,,Acts 20:1–16,
5th Sunday after Epiphany,Saturday,Jeremiah 35:1–11,,Acts 20:17–end,,Jeremiah 35:12–end,,Acts 21:1–16,
6th Sunday after Epiphany,,Isaiah 63:7–16,Amos 9:5–end,Ephesians 6:10–end,John 7:37–52,Isaiah 64,Micah 7:1–9,Luke 7:1–10,John 8:12–30
6th Sunday after Epiphany,Monday,Tobit 4:5–19,,Acts 21:17–36,,Tobit 13,,Acts 21:37–22:22,
6th Sunday after Epiphany,Tuesday,Baruch 1:15–2:10,,Acts 22:23–23:11,,Baruch 2:11–end,,Acts 23:12–end,
6th Sunday after Epiphany,Wednesday,Baruch 3:1–8,,Acts 24:1–23,,Baruch 3:9–end,,Acts 24:24–25:12,
6th Sunday after Epiphany,Thursday,Baruch 4:21–30,,Acts 25:13–end,,Baruch 4:36–5:end,,Acts 26,
6th Sunday after Epiphany,Friday,2 Maccabees 4:7–17,,Acts 27:1–26,,2 Maccabees 6:12–end,,Acts 27:27–end,
6th Sunday after Epiphany,Saturday,2 Maccabees 7:1–19,,Acts 28:1–15,,2 Maccabees 7:20–41,,Acts 28:16–end,
Septuagesima Sunday,,Genesis 1:1–2:3,Genesis 1:1–2:3,John 1:1–18,Revelation 21:1–14,Genesis 2:4–end,Genesis 2:4–end,Revelation 4,Mark 10:1–16
Septuagesima Sunday,Monday,Genesis 3,,Matthew 15:29–16:12,,Genesis 4:1–16,,Romans 1,
Septuagesima Sunday,Tuesday,Genesis 6:5–end,,Matthew 16:13–end,,Genesis 7,,Romans 2,
Septuagesima Sunday,Wednesday,Genesis 8:1–14,,Matthew 17:1–23,,Genesis 8:15–9:17,,Romans 3,
Septuagesima Sunday,Thursday,Genesis 11:1–9,,Matthew 17:24–18:14,,Genesis 11:27–12:10,,Romans 4,
Septuagesima Sunday,Friday,Genesis 13,,Matthew 18:15–end,,Genesis 14,,Romans 5,
Septuagesima Sunday,Saturday,Genesis 15,,Matthew 19:1–15,,Genesis 16,,Romans 6,
Sexagesima Sunday,,Genesis 3,Genesis 3,1 Corinthians 10:1–13 & (10:14–24),1 Corinthians 6:12–end,Genesis 4:1–16,Genesis 37,1 John 3:1–15,Luke 10:25–37
Sexagesima Sunday,Monday,Genesis 17:1–22,,Matthew 19:16–20:16,,Genesis 18,,Romans 7,
Sexagesima Sunday,Tuesday,Genesis 19:1–3 & 19:12–29,,Matthew 20:17–end,,Genesis 21,,Romans 8:1–17,
Sexagesima Sunday,Wednesday,Genesis 22:1–19,,Matthew 21:1–22,,Genesis 23,,Romans 8:18–end,
Sexagesima Sunday,Thursday,Genesis 24:1–28,,Matthew 21:23–end,,Genesis 24:29–end,,Romans 9,
Sexagesima Sunday,Friday,Genesis 25:7–11 & 25:19–end,,Matthew 22:1–33,,Genesis 27:1–40,,Romans 10,
Sexagesima Sunday,Saturday,Genesis 27:41–28:end,,Matthew 22:34–23:12,,Genesis 29:1–20,,Romans 11,
Quinquagesima Sunday,,Genesis 12:1–9,Genesis 12:1–9,1 Corinthians 12:4–end,1 Corinthians 12:4–end,Genesis 6:5–end,Genesis 41:1–40,Luke 17:20–end,1 John 4:7–end
Quinquagesima Sunday,Monday,Genesis 31:1–9 & 31:14–21,,Matthew 23:13–end,,Genesis 31:22–32:2,,Romans 12,
Quinquagesima Sunday,Tuesday,Genesis 32:3–30,,Matthew 24:1–28,,Genesis 33,,Romans 13,
Ash Wednesday,,Isaiah 58,,Mark 2:13–22,,Daniel 9:3–19,,Hebrews 3:12–4:13,
Ash Wednesday,Thursday,Genesis 35:1–20,,Matthew 24:29–end,,Genesis 37,,Romans 14,
Ash Wednesday,Friday,Genesis 39,,Matthew 25:1–30,,Genesis 40,,Romans 15,
Ash Wednesday,Saturday,Genesis 41:1–40,,Matthew 25:31–end,,Genesis 41:41–end,,Romans 16,
1st Sunday in Lent,,Genesis 13,Genesis 27:1–40,Luke 15:1–10,Hebrews 4:14–5:10,Genesis 8:15–9:17,Genesis 42,Mark 14:1–26,Luke 22:1–23
1st Sunday in Lent,Monday,Genesis 42,Genesis 43:1–14,Matthew 26:1–30,Matthew 26:1–30,Genesis 43,Genesis 43:15–end,Philippians 1,Philippians 1
1st Sunday in Lent,Tuesday,Genesis 44,,Matthew 26:31–56,,Genesis 45:1–15,,Philippians 2,
1st Sunday in Lent,Wednesday,Genesis 45:16–46:7,,Matthew 26:57–end,,Genesis 46:26–47:12,,Philippians 3,
1st Sunday in Lent,Thursday,Genesis 47:13–end,,Matthew 27:1–26,,Genesis 48,,Philippians 4,
1st Sunday in Lent,Friday,Genesis 49:1–32,,Matthew 27:27–56,,Genesis 49:33–50:end,,Colossians 1:1–20,
1st Sunday in Lent,Saturday,Exodus 1:1–14 & 1:22–2:10,,Matthew 27:57–28:end,,Exodus 2:11–22,,Colossians 1:21–2:7,
2nd Sunday in Lent,,Genesis 18:1–16,Genesis 28:10–end,Luke 15:11–end,Hebrews 10:19–end,Genesis 11:1–9,Genesis 43:1–15 & (43:16–26) & 43:27–end,Mark 14:27–52,Luke 22:24–53
2nd Sunday in Lent,Monday,Exodus 2:23–3:end,,John 1:1–28,,Exodus 4:1–23,,Colossians 2:8–3:11,
2nd Sunday in Lent,Tuesday,Exodus 4:27–6:1,,John 1:29–end,,Exodus 6:2–13 & 7:1–7,,Colossians 3:12–4:1,
2nd Sunday in Lent,Wednesday,Exodus 7:8–end,,John 2,,Exodus 8:1–19,,Colossians 4:2–end,
2nd Sunday in Lent,Thursday,Exodus 8:20–9:12,,John 3:1–21,,Exodus 9:13–end,,Philemon,
2nd Sunday in Lent,Friday,Exodus 10:1–20,,John 3:22–end,,Exodus 10:21–11:end,,Ephesians 1,
2nd Sunday in Lent,Saturday,Exodus 12:1–20,,John 4:1–26,,Exodus 12:21–36,,Ephesians 2,
3rd Sunday in Lent,,Genesis 18:17–end,Genesis 29:1–20,Luke 18:1–14,Hebrews 12:14–end,Genesis 24:1–28,Genesis 44:1–45:8,Mark 14:53–end,Luke 22:54–end
3rd Sunday in Lent,Monday,Exodus 12:37–end,,John 4:27–end,,Exodus 13:1–16,,Ephesians 3,
3rd Sunday in Lent,Tuesday,Exodus 13:17–14:14,,John 5:1–23,,Exodus 14:15–end,,Ephesians 4:1–16,
3rd Sunday in Lent,Wednesday,Exodus 15:1–26,,John 5:24–end,,Exodus 15:27–16:35,,Ephesians 4:17–30,
3rd Sunday in Lent,Thursday,Exodus 17,,John 6:1–21,,Exodus 18,,Ephesians 4:31–5:21,
3rd Sunday in Lent,Friday,Exodus 19,,John 6:22–40,,Exodus 20:1–21,,Ephesians 5:22–6:9,
3rd Sunday in Lent,Saturday,Exodus 22:20–23:17,,John 6:41–end,,Exodus 23:20–end,,Ephesians 6:10–end,
4th Sunday in Lent,,Exodus 1:8–14 & 1:22–2:10,Genesis 32:3–30,Luke 18:35–19:10,Hebrews 13:1–21,Genesis 24:29–end,Genesis 45:16–46:7,Mark 15:1–21,Luke 23:1–25
4th Sunday in Lent,Monday,Exodus 24,,John 7:1–24,,Exodus 25:1–22,,1 Timothy 1:1–17,
4th Sunday in Lent,Tuesday,Exodus 28:1–4 & 29:1–9,,John 7:25–end,,Exodus 29:38–30:16,,1 Timothy 1:18–2:end,
4th Sunday in Lent,Wednesday,Exodus 32,,John 8:1–30,,Exodus 33,,1 Timothy 3,
4th Sunday in Lent,Thursday,Exodus 34,,John 8:31–end,,Exodus 35:20–36:7,,1 Timothy 4,
4th Sunday in Lent,Friday,Exodus 40:17–end,,John 9,,Leviticus 6:8–end,,1 Timothy 5,
